rank,variant,word,sentence,tags
17,1,una,Quiero {{una}} manzana.,frequency;generated;rank-001-020
17,2,una,Hay {{una}} farmacia cerca.,frequency;generated;spanish
17,3,una,Nos vemos en {{una}} hora.,frequency;generated;spanish
18,1,para,Este regalo es {{para}} ti.,frequency;generated;rank-001-020
18,2,para,Estudio {{para}} aprender.,frequency;generated;spanish
18,3,para,El tren sale {{para}} Lima.,frequency;generated;spanish
19,1,lo,No {{lo}} entiendo.,frequency;generated;rank-001-020
19,2,lo,Ya {{lo}} compré.,frequency;generated;spanish
19,3,lo,Eso es {{lo}} importante.,frequency;generated;spanish
20,1,su,Veo {{su}} casa pequeña.,frequency;generated;rank-001-020
20,2,su,Ana busca a {{su}} hermano.,frequency;generated;spanish
20,3,su,El gato mueve {{su}} cola.,frequency;generated;spanish
21,1,al,Voy {{al}} parque.,frequency;generated;rank-021-040
21,2,al,Me lavo las manos {{al}} llegar.,frequency;generated;spanish
21,3,al,Dale agua {{al}} perro.,frequency;generated;spanish
22,1,como,Trabajo {{como}} maestro.,frequency;generated;rank-021-040
22,2,como,Hazlo {{como}} te enseñé.,frequency;generated;spanish
22,3,como,Tu casa es tan grande {{como}} esta.,frequency;generated;spanish
23,1,me,Ella {{me}} llama.,frequency;generated;rank-021-040
23,2,me,Hoy {{me}} siento mejor.,frequency;generated;spanish
23,3,me,¿{{Me}} guardas una silla?,frequency;generated;spanish
24,1,más,Quiero {{más}} agua.,frequency;generated;rank-021-040
24,2,más,Mi casa está {{más}} lejos.,frequency;generated;spanish
24,3,más,¿Quién quiere {{más}} sopa?,frequency;generated;spanish
25,1,si,Voy {{si}} puedo.,frequency;generated;rank-021-040
25,2,si,Avísame {{si}} necesitas ayuda.,frequency;generated;spanish
25,3,si,No sé {{si}} queda pan.,frequency;generated;spanish
26,1,pero,"Quiero ir, {{pero}} no puedo.",frequency;generated;rank-021-040
26,2,pero,"Es pequeño, {{pero}} cómodo.",frequency;generated;spanish
26,3,pero,"Te llamé, {{pero}} no contestaste.",frequency;generated;spanish
27,1,te,Yo {{te}} veo.,frequency;generated;rank-021-040
27,2,te,¿Cómo {{te}} llamas?,frequency;generated;spanish
27,3,te,Mañana {{te}} traigo el libro.,frequency;generated;spanish
28,1,o,Quiero té {{o}} café.,frequency;generated;rank-021-040
28,2,o,¿Vienes solo {{o}} acompañado?,frequency;generated;spanish
28,3,o,Llama hoy {{o}} escribe mañana.,frequency;generated;spanish
29,1,mi,Esta es {{mi}} casa.,frequency;generated;rank-021-040
29,2,mi,No encuentro {{mi}} teléfono.,frequency;generated;spanish
29,3,mi,Mañana viene {{mi}} hermana.,frequency;generated;spanish
30,1,le,Yo {{le}} doy agua.,frequency;generated;rank-021-040
30,2,le,A Juan {{le}} gusta bailar.,frequency;generated;spanish
30,3,le,¿Ya {{le}} escribiste a tu madre?,frequency;generated;spanish
31,1,este,Uso {{este}} lápiz.,frequency;generated;rank-021-040
31,2,este,Llueve mucho {{este}} mes.,frequency;generated;spanish
31,3,este,¿Cuánto cuesta {{este}} sombrero?,frequency;generated;spanish
32,1,sus,Veo {{sus}} libros.,frequency;generated;rank-021-040
32,2,sus,Ana vino con {{sus}} hijos.,frequency;generated;spanish
32,3,sus,El perro busca {{sus}} juguetes.,frequency;generated;spanish
33,1,esta,Vivo en {{esta}} ciudad.,frequency;generated;rank-021-040
33,2,esta,¿De quién es {{esta}} bolsa?,frequency;generated;spanish
33,3,esta,Volvemos {{esta}} noche.,frequency;generated;spanish
34,1,todo,Leo {{todo}} el día.,frequency;generated;rank-021-040
34,2,todo,Ya entendí {{todo}}.,frequency;generated;spanish
34,3,todo,Guardé {{todo}} el dinero.,frequency;generated;spanish
35,1,ya,Ella {{ya}} llegó.,frequency;generated;rank-021-040
35,2,ya,No queda pan; {{ya}} se acabó.,frequency;generated;spanish
35,3,ya,¿{{Ya}} terminaste la tarea?,frequency;generated;spanish
36,1,ha,Ella {{ha}} comido.,frequency;generated;rank-021-040
36,2,ha,El tren {{ha}} salido.,frequency;generated;spanish
36,3,ha,¿Quién {{ha}} llamado?,frequency;generated;spanish
37,1,cuando,Llámame {{cuando}} llegues.,frequency;generated;rank-021-040
37,2,cuando,Me río {{cuando}} estoy nervioso.,frequency;generated;spanish
37,3,cuando,Era pequeño {{cuando}} aprendí a nadar.,frequency;generated;spanish
38,1,yo,Lo hago {{yo}}.,frequency;generated;rank-021-040
38,2,yo,Hoy cocino {{yo}}.,frequency;generated;spanish
38,3,yo,¿Puedo ir {{yo}} también?,frequency;generated;spanish
39,1,ser,Quiero {{ser}} médico.,frequency;generated;rank-021-040
39,2,ser,Eso puede {{ser}} peligroso.,frequency;generated;spanish
39,3,ser,Gracias por {{ser}} tan amable.,frequency;generated;spanish
40,1,son,Ellos {{son}} amigos.,frequency;generated;rank-021-040
40,2,son,Las llaves {{son}} tuyas.,frequency;generated;spanish
40,3,son,¿Cuántos {{son}} en tu familia?,frequency;generated;spanish
41,1,sin,Tomo té {{sin}} azúcar.,frequency;generated;rank-041-060
41,2,sin,Salió {{sin}} su abrigo.,frequency;generated;spanish
41,3,sin,No puedo leer {{sin}} lentes.,frequency;generated;spanish
42,1,hay,En mi bolsa {{hay}} pan.,frequency;generated;rank-041-060
42,2,hay,¿{{Hay}} alguien en casa?,frequency;generated;spanish
42,3,hay,No {{hay}} que correr.,frequency;generated;spanish
43,1,está,Mi casa {{está}} cerca.,frequency;generated;rank-041-060
43,2,está,La sopa {{está}} lista.,frequency;generated;spanish
43,3,está,¿Quién {{está}} tocando la puerta?,frequency;generated;spanish
44,1,fue,Ayer {{fue}} lunes.,frequency;generated;rank-041-060
44,2,fue,La cena {{fue}} deliciosa.,frequency;generated;spanish
44,3,fue,Mi hermano {{fue}} a comprar pan.,frequency;generated;spanish
45,1,tu,Me gusta {{tu}} camisa.,frequency;generated;rank-041-060
45,2,tu,¿Cómo está {{tu}} abuela?,frequency;generated;spanish
45,3,tu,Dejaste {{tu}} bolsa aquí.,frequency;generated;spanish
46,1,muy,La sopa está {{muy}} caliente.,frequency;generated;rank-041-060
46,2,muy,Mi hermana canta {{muy}} bien.,frequency;generated;spanish
46,3,muy,Llegamos {{muy}} temprano.,frequency;generated;spanish
47,1,sobre,El libro está {{sobre}} la mesa.,frequency;generated;rank-041-060
47,2,sobre,Hablamos {{sobre}} tu viaje.,frequency;generated;spanish
47,3,sobre,Ponte el abrigo {{sobre}} la camisa.,frequency;generated;spanish
48,1,también,Yo {{también}} quiero agua.,frequency;generated;rank-041-060
48,2,también,El museo abre {{también}} los domingos.,frequency;generated;spanish
48,3,también,Ella canta y {{también}} toca el piano.,frequency;generated;spanish
49,1,todos,Los niños están {{todos}} aquí.,frequency;generated;rank-041-060
49,2,todos,Desayuno aquí {{todos}} los días.,frequency;generated;spanish
49,3,todos,Hay comida para {{todos}}.,frequency;generated;spanish
50,1,eso,No entiendo {{eso}} todavía.,frequency;generated;rank-041-060
50,2,eso,¿Cuánto cuesta {{eso}}?,frequency;generated;spanish
50,3,eso,Por {{eso}} llegué tarde.,frequency;generated;spanish
51,1,tiene,Mi casa {{tiene}} patio.,frequency;generated;rank-041-060
51,2,tiene,El bebé {{tiene}} sueño.,frequency;generated;spanish
51,3,tiene,Esta palabra {{tiene}} dos significados.,frequency;generated;spanish
52,1,nos,El perro {{nos}} sigue.,frequency;generated;rank-041-060
52,2,nos,Mañana {{nos}} vemos.,frequency;generated;spanish
52,3,nos,Mi madre {{nos}} preparó sopa.,frequency;generated;spanish
53,1,porque,No voy {{porque}} llueve.,frequency;generated;rank-041-060
53,2,porque,Sonrío {{porque}} estoy contento.,frequency;generated;spanish
53,3,porque,¿Es {{porque}} tienes miedo?,frequency;generated;spanish
54,1,qué,No sé {{qué}} quieres.,frequency;generated;rank-041-060
54,2,qué,¿A {{qué}} hora sales?,frequency;generated;spanish
54,3,qué,¡{{Qué}} bonito jardín!,frequency;generated;spanish
55,1,así,No hables {{así}} aquí.,frequency;generated;rank-041-060
55,2,así,Dobla la hoja {{así}}.,frequency;generated;spanish
55,3,así,Llegué temprano; {{así}} pude sentarme.,frequency;generated;spanish
56,1,años,Mi abuelo tiene ochenta {{años}}.,frequency;generated;rank-041-060
56,2,años,Hace dos {{años}} que vivo aquí.,frequency;generated;spanish
56,3,años,Este edificio tiene cien {{años}}.,frequency;generated;spanish
57,1,dos,"Quiero {{dos}} tacos, por favor.",frequency;generated;rank-041-060
57,2,dos,Mis {{dos}} hermanas viven cerca.,frequency;generated;spanish
57,3,dos,La tienda cierra a las {{dos}}.,frequency;generated;spanish
58,1,bien,Hoy me siento {{bien}}.,frequency;generated;rank-041-060
58,2,bien,Lo explicaste muy {{bien}}.,frequency;generated;spanish
58,3,bien,¿Te queda {{bien}} la camisa?,frequency;generated;spanish
59,1,entre,El gato duerme {{entre}} las sillas.,frequency;generated;rank-041-060
59,2,entre,Puedes elegir {{entre}} té y café.,frequency;generated;spanish
59,3,entre,El viaje dura {{entre}} dos y tres horas.,frequency;generated;spanish
60,1,puede,Mi hermana {{puede}} venir hoy.,frequency;generated;rank-041-060
60,2,puede,¿Se {{puede}} pagar con tarjeta?,frequency;generated;spanish
60,3,puede,Ese perro {{puede}} morder.,frequency;generated;spanish
61,1,desde,Trabajo aquí {{desde}} mayo.,frequency;generated;rank-061-080
61,2,desde,Te llamo {{desde}} casa.,frequency;generated;spanish
61,3,desde,La playa se ve {{desde}} aquí.,frequency;generated;spanish
62,1,hasta,Camino {{hasta}} la escuela.,frequency;generated;rank-061-080
62,2,hasta,La tienda abre {{hasta}} las nueve.,frequency;generated;spanish
62,3,hasta,Voy a esperar {{hasta}} que llegues.,frequency;generated;spanish
63,1,hacer,Quiero {{hacer}} la cena.,frequency;generated;rank-061-080
63,2,hacer,¿Qué vamos a {{hacer}} mañana?,frequency;generated;spanish
63,3,hacer,Me gusta {{hacer}} ejercicio.,frequency;generated;spanish
64,1,ahora,Vamos {{ahora}} mismo.,frequency;generated;rank-061-080
64,2,ahora,¿Puedes hablar {{ahora}}?,frequency;generated;spanish
64,3,ahora,Antes vivía lejos; {{ahora}} vivo aquí.,frequency;generated;spanish
65,1,era,Antes {{era}} más caro.,frequency;generated;rank-061-080
65,2,era,Mi abuelo {{era}} maestro.,frequency;generated;spanish
65,3,era,La puerta {{era}} de madera.,frequency;generated;spanish
66,1,esto,No entiendo {{esto}} todavía.,frequency;generated;rank-061-080
66,2,esto,¿De quién es {{esto}}?,frequency;generated;spanish
66,3,esto,Guarda {{esto}} en tu bolsa.,frequency;generated;spanish
67,1,vez,Tal {{vez}} vuelvo mañana.,frequency;generated;rank-061-080
67,2,vez,Es la primera {{vez}} que vengo.,frequency;generated;spanish
67,3,vez,Habla uno a la {{vez}}.,frequency;generated;spanish
68,1,hace,Mi padre {{hace}} café.,frequency;generated;rank-061-080
68,2,hace,Hoy {{hace}} mucho frío.,frequency;generated;spanish
68,3,hace,Llegué {{hace}} una hora.,frequency;generated;spanish
69,1,nada,Hoy no quiero {{nada}}.,frequency;generated;rank-061-080
69,2,nada,No escuché {{nada}}.,frequency;generated;spanish
69,3,nada,Gracias; de {{nada}}.,frequency;generated;spanish
70,1,ni,No canta {{ni}} baila.,frequency;generated;rank-061-080
70,2,ni,No tengo dinero {{ni}} tarjeta.,frequency;generated;spanish
70,3,ni,No vino {{ni}} siquiera Juan.,frequency;generated;spanish
71,1,donde,La casa {{donde}} vivo es pequeña.,frequency;generated;rank-061-080
71,2,donde,Siéntate {{donde}} quieras.,frequency;generated;spanish
71,3,donde,Volvimos al café {{donde}} nos conocimos.,frequency;generated;spanish
72,1,parte,Mi casa está en otra {{parte}}.,frequency;generated;rank-061-080
72,2,parte,Esta {{parte}} del libro es difícil.,frequency;generated;spanish
72,3,parte,Quiero ser {{parte}} del equipo.,frequency;generated;spanish
73,1,solo,Hoy quiero estar {{solo}}.,frequency;generated;rank-061-080
73,2,solo,Me quedé {{solo}} en casa.,frequency;generated;spanish
73,3,solo,Necesito {{solo}} cinco minutos.,frequency;generated;spanish
74,1,algo,Quiero comer {{algo}} ahora.,frequency;generated;rank-061-080
74,2,algo,¿Pasó {{algo}} malo?,frequency;generated;spanish
74,3,algo,El café está {{algo}} frío.,frequency;generated;spanish
75,1,tiempo,Hoy tengo {{tiempo}} libre.,frequency;generated;rank-061-080
75,2,tiempo,¿Cuánto {{tiempo}} falta?,frequency;generated;spanish
75,3,tiempo,El {{tiempo}} pasa rápido.,frequency;generated;spanish
76,1,día,Hoy es un {{día}} lindo.,frequency;generated;rank-061-080
76,2,día,Trabajo de {{día}}.,frequency;generated;spanish
76,3,día,El museo cierra un {{día}} por semana.,frequency;generated;spanish
77,1,uno,Solo quiero {{uno}}.,frequency;generated;rank-061-080
77,2,uno,Elige {{uno}} de estos colores.,frequency;generated;spanish
77,3,uno,Ya tengo {{uno}} en casa.,frequency;generated;spanish
78,1,mejor,Ahora me siento {{mejor}}.,frequency;generated;rank-061-080
78,2,mejor,Este camino es {{mejor}}.,frequency;generated;spanish
78,3,mejor,Mi hermano cocina {{mejor}} que yo.,frequency;generated;spanish
79,1,mucho,Ella estudia {{mucho}} aquí.,frequency;generated;rank-061-080
79,2,mucho,Te quiero {{mucho}}.,frequency;generated;spanish
79,3,mucho,Hoy hace {{mucho}} calor.,frequency;generated;spanish
80,1,tan,No es {{tan}} caro.,frequency;generated;rank-061-080
80,2,tan,¿Por qué hablas {{tan}} rápido?,frequency;generated;spanish
80,3,tan,Nunca había visto algo {{tan}} bonito.,frequency;generated;spanish
81,1,ver,Quiero {{ver}} el mar.,frequency;generated;rank-081-100
81,2,ver,No alcanzo a {{ver}} la pantalla.,frequency;generated;spanish
81,3,ver,Vamos a {{ver}} qué pasa.,frequency;generated;spanish
82,1,vida,Mi {{vida}} cambia hoy.,frequency;generated;rank-081-100
82,2,vida,El agua es necesaria para la {{vida}}.,frequency;generated;spanish
82,3,vida,Me contó toda su {{vida}}.,frequency;generated;spanish
83,1,e,Estudio historia {{e}} inglés.,frequency;generated;rank-081-100
83,2,e,Vinieron padres {{e}} hijos.,frequency;generated;spanish
83,3,e,Necesito aguja {{e}} hilo.,frequency;generated;spanish
84,1,ese,Quiero {{ese}} libro.,frequency;generated;rank-081-100
84,2,ese,¿Quién es {{ese}} señor?,frequency;generated;spanish
84,3,ese,En {{ese}} momento empezó a llover.,frequency;generated;spanish
85,1,han,Ellos {{han}} llegado hoy.,frequency;generated;rank-081-100
85,2,han,Mis padres {{han}} vendido su casa.,frequency;generated;spanish
85,3,han,¿Te {{han}} llamado del trabajo?,frequency;generated;spanish
86,1,mismo,Llevo el {{mismo}} abrigo.,frequency;generated;rank-081-100
86,2,mismo,Puedes hacerlo tú {{mismo}}.,frequency;generated;spanish
86,3,mismo,Salimos ahora {{mismo}}.,frequency;generated;spanish
87,1,siempre,Ella llega {{siempre}} temprano.,frequency;generated;rank-081-100
87,2,siempre,Te voy a querer {{siempre}}.,frequency;generated;spanish
87,3,siempre,Aquí {{siempre}} hace calor.,frequency;generated;spanish
88,1,tengo,Hoy {{tengo}} clase.,frequency;generated;rank-081-100
88,2,tengo,No {{tengo}} cambio.,frequency;generated;spanish
88,3,tengo,{{Tengo}} que irme pronto.,frequency;generated;spanish
89,1,cada,Caminamos {{cada}} mañana.,frequency;generated;rank-081-100
89,2,cada,Dale un vaso a {{cada}} persona.,frequency;generated;spanish
89,3,cada,El autobús pasa {{cada}} diez minutos.,frequency;generated;spanish
90,1,después,Salimos {{después}} de comer.,frequency;generated;rank-081-100
90,2,después,Primero come; {{después}} hablamos.,frequency;generated;spanish
90,3,después,Llegó poco {{después}} de las ocho.,frequency;generated;spanish
91,1,están,Mis llaves {{están}} aquí.,frequency;generated;rank-081-100
91,2,están,Los niños {{están}} jugando.,frequency;generated;spanish
91,3,están,¿Ya {{están}} listas las camas?,frequency;generated;spanish
92,1,gente,Hay mucha {{gente}} aquí.,frequency;generated;rank-081-100
92,2,gente,La {{gente}} de mi barrio es amable.,frequency;generated;spanish
92,3,gente,Esa tienda busca {{gente}} para trabajar.,frequency;generated;spanish
93,1,esa,Quiero {{esa}} camisa.,frequency;generated;rank-081-100
93,2,esa,¿Quién vive en {{esa}} casa?,frequency;generated;spanish
93,3,esa,No conocía {{esa}} palabra.,frequency;generated;spanish
94,1,estado,El parque está en buen {{estado}}.,frequency;generated;rank-081-100
94,2,estado,Nunca he {{estado}} allí.,frequency;generated;spanish
94,3,estado,La capital del {{estado}} está lejos.,frequency;generated;spanish
95,1,estoy,Ahora {{estoy}} en casa.,frequency;generated;rank-081-100
95,2,estoy,Hoy {{estoy}} cansado.,frequency;generated;spanish
95,3,estoy,Te {{estoy}} escuchando.,frequency;generated;spanish
96,1,mundo,Ella conoce el {{mundo}}.,frequency;generated;rank-081-100
96,2,mundo,Es el mejor abuelo del {{mundo}}.,frequency;generated;spanish
96,3,mundo,Todo el {{mundo}} está esperando.,frequency;generated;spanish
97,1,va,Mi hermano {{va}} al trabajo.,frequency;generated;rank-081-100
97,2,va,¿Cómo te {{va}}?,frequency;generated;spanish
97,3,va,El bebé {{va}} a dormir.,frequency;generated;spanish
98,1,año,Este {{año}} estudio español.,frequency;generated;rank-081-100
98,2,año,Nos mudamos el próximo {{año}}.,frequency;generated;spanish
98,3,año,Cumplió un {{año}} ayer.,frequency;generated;spanish
99,1,les,Yo {{les}} doy agua.,frequency;generated;rank-081-100
99,2,les,A mis hijos {{les}} encanta nadar.,frequency;generated;spanish
99,3,les,¿Ya {{les}} contaste la noticia?,frequency;generated;spanish
100,1,mas,"Quiero ir, {{mas}} no puedo.",frequency;generated;rank-081-100
100,2,mas,"Lo intenté, {{mas}} no tuve suerte.",frequency;generated;spanish
100,3,mas,"Quiso hablar, {{mas}} guardó silencio.",frequency;generated;spanish
101,1,otro,Quiero {{otro}} café.,frequency;generated;rank-101-120
101,2,otro,Nos vemos {{otro}} día.,frequency;generated;spanish
101,3,otro,El baño está al {{otro}} lado.,frequency;generated;spanish
102,1,otros,Los {{otros}} niños juegan afuera.,frequency;generated;rank-101-120
102,2,otros,Prefiero {{otros}} colores.,frequency;generated;spanish
102,3,otros,Piensa también en los {{otros}}.,frequency;generated;spanish
103,1,gracias,Muchas {{gracias}} por tu ayuda.,frequency;generated;rank-101-120
103,2,gracias,Llegamos a tiempo {{gracias}} a ti.,frequency;generated;spanish
103,3,gracias,Dale las {{gracias}} a tu abuela.,frequency;generated;spanish
104,1,otra,Necesito {{otra}} silla.,frequency;generated;rank-101-120
104,2,otra,¿Podemos intentarlo {{otra}} vez?,frequency;generated;spanish
104,3,otra,Mi hermana vive en {{otra}} ciudad.,frequency;generated;spanish
105,1,cosas,Tengo muchas {{cosas}} que hacer.,frequency;generated;rank-101-120
105,2,cosas,Guarda tus {{cosas}}.,frequency;generated;spanish
105,3,cosas,Las {{cosas}} han cambiado mucho.,frequency;generated;spanish
106,1,gran,Es una {{gran}} idea.,frequency;generated;rank-101-120
106,2,gran,Mi abuelo tiene un {{gran}} corazón.,frequency;generated;spanish
106,3,gran,Fue una {{gran}} sorpresa.,frequency;generated;spanish
107,1,menos,Hoy tengo {{menos}} trabajo.,frequency;generated;rank-101-120
107,2,menos,Cuesta {{menos}} de diez pesos.,frequency;generated;spanish
107,3,menos,Hoy hace {{menos}} frío.,frequency;generated;spanish
108,1,nunca,Ella {{nunca}} llega tarde.,frequency;generated;rank-101-120
108,2,nunca,No he visto eso {{nunca}}.,frequency;generated;spanish
108,3,nunca,Más vale tarde que {{nunca}}.,frequency;generated;spanish
109,1,personas,Hay cinco {{personas}} aquí.,frequency;generated;rank-101-120
109,2,personas,Estas {{personas}} necesitan ayuda.,frequency;generated;spanish
109,3,personas,La mesa es para cuatro {{personas}}.,frequency;generated;spanish
110,1,tanto,No necesito {{tanto}} dinero.,frequency;generated;rank-101-120
110,2,tanto,¿Por qué tardaste {{tanto}}?,frequency;generated;spanish
110,3,tanto,"Mientras {{tanto}}, prepara la mesa.",frequency;generated;spanish
111,1,antes,Llegué {{antes}} que tú.,frequency;generated;rank-101-120
111,2,antes,Lávate las manos {{antes}} de comer.,frequency;generated;spanish
111,3,antes,Nunca había venido {{antes}}.,frequency;generated;spanish
112,1,poco,Tengo {{poco}} tiempo.,frequency;generated;rank-101-120
112,2,poco,Habla un {{poco}} más despacio.,frequency;generated;spanish
112,3,poco,Hoy dormí muy {{poco}}.,frequency;generated;spanish
113,1,sea,Espero que {{sea}} fácil.,frequency;generated;rank-101-120
113,2,sea,Tal vez {{sea}} verdad.,frequency;generated;spanish
113,3,sea,No creo que {{sea}} necesario.,frequency;generated;spanish
114,1,había,Antes {{había}} un parque aquí.,frequency;generated;rank-101-120
114,2,había,"Cuando llegué, ya {{había}} salido.",frequency;generated;spanish
114,3,había,No {{había}} nadie en la tienda.,frequency;generated;spanish
115,1,tener,Quiero {{tener}} un perro.,frequency;generated;rank-101-120
115,2,tener,Debes {{tener}} cuidado.,frequency;generated;spanish
115,3,tener,Espero {{tener}} tiempo mañana.,frequency;generated;spanish
116,1,trabajo,Tengo mucho {{trabajo}} hoy.,frequency;generated;rank-101-120
116,2,trabajo,Busco {{trabajo}} cerca de casa.,frequency;generated;spanish
116,3,trabajo,Salgo del {{trabajo}} a las seis.,frequency;generated;spanish
117,1,durante,Leo {{durante}} el viaje.,frequency;generated;rank-101-120
117,2,durante,No hables {{durante}} la película.,frequency;generated;spanish
117,3,durante,Viví allí {{durante}} tres meses.,frequency;generated;spanish
118,1,ellos,Ana va con {{ellos}}.,frequency;generated;rank-101-120
118,2,ellos,¿Quiénes son {{ellos}}?,frequency;generated;spanish
118,3,ellos,La cena es para {{ellos}}.,frequency;generated;spanish
119,1,lugar,Este es un buen {{lugar}}.,frequency;generated;rank-101-120
119,2,lugar,Siéntate en mi {{lugar}}.,frequency;generated;spanish
119,3,lugar,Bebe agua en {{lugar}} de refresco.,frequency;generated;spanish
120,1,creo,También {{creo}} que sí.,frequency;generated;rank-101-120
120,2,creo,No {{creo}} esa historia.,frequency;generated;spanish
120,3,creo,{{Creo}} en ti.,frequency;generated;spanish
121,1,cómo,No sé {{cómo}} llegar.,frequency;generated;rank-121-140
121,2,cómo,¿{{Cómo}} te sientes?,frequency;generated;spanish
121,3,cómo,Enséñame {{cómo}} funciona.,frequency;generated;spanish
122,1,hecho,Ya he {{hecho}} la tarea.,frequency;generated;rank-121-140
122,2,hecho,El pastel está {{hecho}} con manzanas.,frequency;generated;spanish
122,3,hecho,"Es un {{hecho}}, no una opinión.",frequency;generated;spanish
123,1,quiero,Yo {{quiero}} agua fría.,frequency;generated;rank-121-140
123,2,quiero,No {{quiero}} salir hoy.,frequency;generated;spanish
123,3,quiero,Te {{quiero}} mucho.,frequency;generated;spanish
124,1,sólo,Tengo {{sólo}} diez pesos.,frequency;generated;rank-121-140
124,2,sólo,Vine {{sólo}} para saludarte.,frequency;generated;spanish
124,3,sólo,Ella {{sólo}} toma agua.,frequency;generated;spanish
125,1,aunque,"Voy, {{aunque}} estoy cansado.",frequency;generated;rank-121-140
125,2,aunque,Te ayudaré {{aunque}} sea difícil.,frequency;generated;spanish
125,3,aunque,Salimos {{aunque}} estaba lloviendo.,frequency;generated;spanish
126,1,contra,No tengo nada {{contra}} ti.,frequency;generated;rank-121-140
126,2,contra,El equipo juega {{contra}} sus vecinos.,frequency;generated;spanish
126,3,contra,La escalera está {{contra}} la pared.,frequency;generated;spanish
127,1,cuenta,La {{cuenta}} está en la mesa.,frequency;generated;rank-121-140
127,2,cuenta,Abrió una {{cuenta}} en el banco.,frequency;generated;spanish
127,3,cuenta,Me di {{cuenta}} del error.,frequency;generated;spanish
128,1,decir,Quiero {{decir}} algo.,frequency;generated;rank-121-140
128,2,decir,¿Qué quiere {{decir}} esta palabra?,frequency;generated;spanish
128,3,decir,No sé qué {{decir}}.,frequency;generated;spanish
129,1,gobierno,El {{gobierno}} anunció un cambio.,frequency;generated;rank-121-140
129,2,gobierno,El {{gobierno}} construyó una escuela.,frequency;generated;spanish
129,3,gobierno,No estoy de acuerdo con el {{gobierno}}.,frequency;generated;spanish
130,1,país,Este {{país}} es muy grande.,frequency;generated;rank-121-140
130,2,país,¿De qué {{país}} eres?,frequency;generated;spanish
130,3,país,Es la ciudad más antigua del {{país}}.,frequency;generated;spanish
131,1,soy,Yo {{soy}} estudiante.,frequency;generated;rank-121-140
131,2,soy,No {{soy}} de aquí.,frequency;generated;spanish
131,3,soy,Hoy {{soy}} yo quien cocina.,frequency;generated;spanish
