rank,variant,word,sentence,tags
18,2,sie,Morgen kommt {{sie}} vorbei.,frequency;generated;german
18,3,sie,"Sind das deine Schuhe? Ja, {{sie}} sind neu.",frequency;generated;german
19,1,eine,Ich habe {{eine}} Katze.,frequency;generated;german
19,2,eine,Wir warten schon {{eine}} Stunde.,frequency;generated;german
19,3,eine,Hast du {{eine}} Frage?,frequency;generated;german
20,1,sich,Er wäscht {{sich}} jeden Morgen.,frequency;generated;german
20,2,sich,Sie freut {{sich}} auf morgen.,frequency;generated;german
20,3,sich,Das hört {{sich}} gut an.,frequency;generated;german
21,1,auch,Ich komme {{auch}} mit.,frequency;generated;german
21,2,auch,Mein Bruder spricht {{auch}} Spanisch.,frequency;generated;german
21,3,auch,Das gilt {{auch}} für dich.,frequency;generated;german
22,1,dem,Ich helfe {{dem}} Mann.,frequency;generated;german
22,2,dem,Das Buch liegt auf {{dem}} Tisch.,frequency;generated;german
22,3,dem,Ich spiele mit {{dem}} Hund.,frequency;generated;german
23,1,des,Die Farbe {{des}} Autos ist rot.,frequency;generated;german
23,2,des,Das ist der Anfang {{des}} Films.,frequency;generated;german
23,3,des,Die Tür {{des}} Hauses ist offen.,frequency;generated;german
24,1,als,Er arbeitet {{als}} Lehrer.,frequency;generated;german
24,2,als,Mein Bruder ist älter {{als}} ich.,frequency;generated;german
24,3,als,{{Als}} Kind wohnte ich am Meer.,frequency;generated;german
25,1,er,Heute kommt {{er}} nach Hause.,frequency;generated;german
25,2,er,Hat {{er}} schon gegessen?,frequency;generated;german
25,3,er,Das hat {{er}} selbst gemacht.,frequency;generated;german
26,1,an,Das Bild hängt {{an}} der Wand.,frequency;generated;german
26,2,an,Ich denke oft {{an}} dich.,frequency;generated;german
26,3,an,Ruf mich morgen {{an}}.,frequency;generated;german
27,1,dass,"Ich weiß, {{dass}} du kommst.",frequency;generated;german
27,2,dass,"Ich hoffe, {{dass}} es klappt.",frequency;generated;german
27,3,dass,"Gut, {{dass}} du da bist.",frequency;generated;german
28,1,so,Das ist {{so}} einfach.,frequency;generated;german
28,2,so,Mach es {{so}} wie ich.,frequency;generated;german
28,3,so,Warum bist du {{so}} müde?,frequency;generated;german
29,1,bei,Ich bin {{bei}} meiner Freundin.,frequency;generated;german
29,2,bei,{{Bei}} Regen bleiben wir drinnen.,frequency;generated;german
29,3,bei,Kannst du mir {{bei}} der Arbeit helfen?,frequency;generated;german
30,1,wie,Sie singt {{wie}} ihre Mutter.,frequency;generated;german
30,2,wie,"Ich weiß nicht, {{wie}} das geht.",frequency;generated;german
30,3,wie,{{Wie}} spät ist es?,frequency;generated;german
31,1,aber,"Ich bin müde, {{aber}} glücklich.",frequency;generated;german
31,2,aber,"Das ist schön, {{aber}} teuer.",frequency;generated;german
31,3,aber,"Ich würde kommen, {{aber}} ich muss arbeiten.",frequency;generated;german
32,1,aus,Ich komme {{aus}} Berlin.,frequency;generated;german
32,2,aus,Der Tisch ist {{aus}} Holz.,frequency;generated;german
32,3,aus,Mach bitte das Licht {{aus}}.,frequency;generated;german
33,1,hat,Er {{hat}} einen Hund.,frequency;generated;german
33,2,hat,Sie {{hat}} heute Geburtstag.,frequency;generated;german
33,3,hat,Wer {{hat}} das gesagt?,frequency;generated;german
34,1,sind,Wir {{sind}} heute zu Hause.,frequency;generated;german
34,2,sind,Die Äpfel {{sind}} frisch.,frequency;generated;german
34,3,sind,Meine Freunde {{sind}} schon da.,frequency;generated;german
35,1,nach,Wir fahren morgen {{nach}} Berlin.,frequency;generated;german
35,2,nach,Ich gehe {{nach}} der Arbeit einkaufen.,frequency;generated;german
35,3,nach,Sie fragt {{nach}} dem Preis.,frequency;generated;german
36,1,noch,Ich brauche {{noch}} fünf Minuten.,frequency;generated;german
36,2,noch,Bist du {{noch}} müde?,frequency;generated;german
36,3,noch,Wir haben {{noch}} etwas Brot.,frequency;generated;german
37,1,wir,Heute kochen {{wir}} zusammen.,frequency;generated;german
37,2,wir,Morgen fahren {{wir}} ans Meer.,frequency;generated;german
37,3,wir,Das können {{wir}} später machen.,frequency;generated;german
38,1,du,Kommst {{du}} heute mit?,frequency;generated;german
38,2,du,Was möchtest {{du}} essen?,frequency;generated;german
38,3,du,Morgen hast {{du}} frei.,frequency;generated;german
39,1,war,Gestern {{war}} es kalt.,frequency;generated;german
39,2,war,Der Film {{war}} sehr gut.,frequency;generated;german
39,3,war,Ich {{war}} den ganzen Tag zu Hause.,frequency;generated;german
40,1,nur,Ich habe {{nur}} zehn Euro.,frequency;generated;german
40,2,nur,Heute trinke ich {{nur}} Wasser.,frequency;generated;german
40,3,nur,Das dauert {{nur}} eine Minute.,frequency;generated;german
41,1,wenn,"Ruf mich an, {{wenn}} du Zeit hast.",frequency;generated;german
41,2,wenn,"Ich bleibe zu Hause, {{wenn}} es regnet.",frequency;generated;german
41,3,wenn,"Wir gehen spazieren, {{wenn}} die Sonne scheint.",frequency;generated;german
42,1,oder,Möchtest du Tee {{oder}} Kaffee?,frequency;generated;german
42,2,oder,Kommst du heute {{oder}} morgen?,frequency;generated;german
42,3,oder,Wir können laufen {{oder}} den Bus nehmen.,frequency;generated;german
43,1,wird,Morgen {{wird}} es warm.,frequency;generated;german
43,2,wird,Mein Bruder {{wird}} bald Vater.,frequency;generated;german
43,3,wird,Die Arbeit {{wird}} heute fertig.,frequency;generated;german
44,1,was,"Ich weiß nicht, {{was}} er meint.",frequency;generated;german
44,2,was,"Sag mir, {{was}} du brauchst.",frequency;generated;german
44,3,was,"Hast du gehört, {{was}} passiert ist?",frequency;generated;german
45,1,werden,Die Tage {{werden}} länger.,frequency;generated;german
45,2,werden,Wir {{werden}} morgen anrufen.,frequency;generated;german
45,3,werden,Die Kinder {{werden}} langsam müde.,frequency;generated;german
46,1,einen,Ich kaufe {{einen}} neuen Tisch.,frequency;generated;german
46,2,einen,Er hat {{einen}} kleinen Hund.,frequency;generated;german
46,3,einen,Wir brauchen {{einen}} Termin.,frequency;generated;german
47,1,am,Wir treffen uns {{am}} Bahnhof.,frequency;generated;german
47,2,am,Ich arbeite {{am}} Montag.,frequency;generated;german
47,3,am,Das Café liegt {{am}} Fluss.,frequency;generated;german
48,1,man,Hier kann {{man}} gut essen.,frequency;generated;german
48,2,man,Im Winter trägt {{man}} eine Jacke.,frequency;generated;german
48,3,man,Das darf {{man}} nicht vergessen.,frequency;generated;german
49,1,um,Der Kurs beginnt {{um}} neun Uhr.,frequency;generated;german
49,2,um,Wir gehen {{um}} den See.,frequency;generated;german
49,3,um,Sie kümmert sich {{um}} die Kinder.,frequency;generated;german
50,1,haben,Wir {{haben}} heute viel Zeit.,frequency;generated;german
50,2,haben,Die Kinder {{haben}} Hunger.,frequency;generated;german
50,3,haben,Morgen {{haben}} wir Besuch.,frequency;generated;german
51,1,einer,Ich spreche mit {{einer}} Freundin.,frequency;generated;german
51,2,einer,Das ist das Fahrrad {{einer}} Kollegin.,frequency;generated;german
51,3,einer,Sie wohnt in {{einer}} kleinen Stadt.,frequency;generated;german
52,1,zum,Wir gehen {{zum}} Bahnhof.,frequency;generated;german
52,2,zum,Er kommt {{zum}} Abendessen.,frequency;generated;german
52,3,zum,Ich brauche Milch {{zum}} Kochen.,frequency;generated;german
53,1,kann,Sie {{kann}} sehr gut schwimmen.,frequency;generated;german
53,2,kann,Heute {{kann}} ich länger bleiben.,frequency;generated;german
53,3,kann,Das {{kann}} nicht stimmen.,frequency;generated;german
54,1,über,Das Bild hängt {{über}} dem Sofa.,frequency;generated;german
54,2,über,Wir sprechen {{über}} den Urlaub.,frequency;generated;german
54,3,über,Der Zug fährt {{über}} die Brücke.,frequency;generated;german
55,1,da,Meine Schwester ist schon {{da}}.,frequency;generated;german
55,2,da,Ich war gestern auch {{da}}.,frequency;generated;german
55,3,da,Leg das Buch bitte {{da}} hin.,frequency;generated;german
56,1,dann,Wir essen und gehen {{dann}} spazieren.,frequency;generated;german
56,2,dann,Ruf mich bitte {{dann}} an.,frequency;generated;german
56,3,dann,"Zuerst arbeiten wir, {{dann}} ruhen wir uns aus.",frequency;generated;german
57,1,einem,Ich helfe {{einem}} alten Mann.,frequency;generated;german
57,2,einem,Sie fährt mit {{einem}} kleinen Auto.,frequency;generated;german
57,3,einem,Er wohnt in {{einem}} alten Haus.,frequency;generated;german
58,1,schon,Ich bin {{schon}} fertig.,frequency;generated;german
58,2,schon,Warst du {{schon}} in Wien?,frequency;generated;german
58,3,schon,Der Bus ist {{schon}} weg.,frequency;generated;german
59,1,habe,Ich {{habe}} heute frei.,frequency;generated;german
59,2,habe,Morgen {{habe}} ich einen Termin.,frequency;generated;german
59,3,habe,Ich {{habe}} deine Nachricht gelesen.,frequency;generated;german
60,1,ja,Du kennst ihn {{ja}} schon.,frequency;generated;german
60,2,ja,Das ist {{ja}} eine gute Idee.,frequency;generated;german
60,3,ja,Wir haben {{ja}} genug Zeit.,frequency;generated;german
61,1,mehr,Ich möchte {{mehr}} Wasser.,frequency;generated;german
61,2,mehr,Heute habe ich {{mehr}} Zeit.,frequency;generated;german
61,3,mehr,Wir brauchen nicht {{mehr}} Brot.,frequency;generated;german
62,1,mir,Bitte gib {{mir}} das Buch.,frequency;generated;german
62,2,mir,Das ist {{mir}} zu teuer.,frequency;generated;german
62,3,mir,Meine Mutter hilft {{mir}} oft.,frequency;generated;german
63,1,sein,Heute möchte ich allein {{sein}}.,frequency;generated;german
63,2,sein,Er möchte Lehrer {{sein}}.,frequency;generated;german
63,3,sein,Jeder darf anders {{sein}}.,frequency;generated;german
64,1,vor,Ich warte {{vor}} der Tür.,frequency;generated;german
64,2,vor,Wir essen {{vor}} dem Film.,frequency;generated;german
64,3,vor,Er kam {{vor}} einer Stunde.,frequency;generated;german
65,1,mal,Komm {{mal}} her.,frequency;generated;german
65,2,mal,Ich war schon {{mal}} hier.,frequency;generated;german
65,3,mal,Schau {{mal}} aus dem Fenster.,frequency;generated;german
